head_label,layer_idx,head_idx,count,mean_logit_baseline_wait,mean_logit_ablated_wait,mean_delta_ablated_minus_baseline,mean_abs_delta,max_abs_delta
L22H12,22,12,12,23.416667,23.552083,0.135417,0.135417,0.265625
L9H5,9,5,12,23.416667,23.302083,-0.114583,0.135417,0.34375
L10H11,10,11,12,23.416667,23.307292,-0.109375,0.135417,0.265625
L11H1,11,1,12,23.416667,23.338542,-0.078125,0.135417,0.265625
L16H8,16,8,12,23.416667,23.415365,-0.001302,0.134115,0.3125
L27H1,27,1,12,23.416667,23.283854,-0.132812,0.132812,0.171875
L6H10,6,10,12,23.416667,23.440104,0.023438,0.132812,0.3125
L26H14,26,14,12,23.416667,23.46875,0.052083,0.132812,0.25
L8H3,8,3,12,23.416667,23.477865,0.061198,0.13151,0.46875
L8H0,8,0,12,23.416667,23.53776,0.121094,0.13151,0.265625
L1H1,1,1,12,23.416667,23.338542,-0.078125,0.130208,0.265625
L12H4,12,4,12,23.416667,23.533854,0.117188,0.130208,0.28125
L20H7,20,7,12,23.416667,23.307292,-0.109375,0.130208,0.3125
L13H0,13,0,12,23.416667,23.407552,-0.009115,0.128906,0.234375
L16H6,16,6,12,23.416667,23.545573,0.128906,0.128906,0.1875
L21H1,21,1,12,23.416667,23.315104,-0.101562,0.127604,0.3125
L10H4,10,4,12,23.416667,23.289062,-0.127604,0.127604,0.328125
L22H0,22,0,12,23.416667,23.290365,-0.126302,0.126302,0.265625
L2H3,2,3,12,23.416667,23.315104,-0.101562,0.125,0.3125
L9H8,9,8,12,23.416667,23.476562,0.059896,0.125,0.21875
L4H8,4,8,12,23.416667,23.541667,0.125,0.125,0.171875
L2H6,2,6,12,23.416667,23.460938,0.044271,0.125,0.265625
L6H6,6,6,12,23.416667,23.541667,0.125,0.125,0.21875
L6H8,6,8,12,23.416667,23.53776,0.121094,0.123698,0.328125
L6H3,6,3,12,23.416667,23.527344,0.110677,0.123698,0.171875
L9H0,9,0,12,23.416667,23.457031,0.040365,0.123698,0.296875
L3H13,3,13,12,23.416667,23.294271,-0.122396,0.122396,0.1875
L24H7,24,7,12,23.416667,23.294271,-0.122396,0.122396,0.25
L11H3,11,3,12,23.416667,23.295573,-0.121094,0.121094,0.1875
L13H12,13,12,12,23.416667,23.410156,-0.00651,0.121094,0.328125
L13H2,13,2,12,23.416667,23.441406,0.02474,0.121094,0.203125
L14H11,14,11,12,23.416667,23.528646,0.111979,0.119792,0.28125
L16H5,16,5,12,23.416667,23.513021,0.096354,0.119792,0.359375
L22H15,22,15,12,23.416667,23.299479,-0.117188,0.117188,0.21875
L5H14,5,14,12,23.416667,23.528646,0.111979,0.117188,0.265625
L17H10,17,10,12,23.416667,23.533854,0.117188,0.117188,0.328125
L21H4,21,4,12,23.416667,23.300781,-0.115885,0.115885,0.15625
L12H11,12,11,12,23.416667,23.527344,0.110677,0.115885,0.234375
L18H14,18,14,12,23.416667,23.311198,-0.105469,0.115885,0.28125
L21H12,21,12,12,23.416667,23.316406,-0.10026,0.115885,0.203125
L16H1,16,1,12,23.416667,23.529948,0.113281,0.113281,0.28125
L0H15,0,15,12,23.416667,23.464844,0.048177,0.113281,0.234375
L14H15,14,15,12,23.416667,23.304688,-0.111979,0.111979,0.265625
L25H1,25,1,12,23.416667,23.30599,-0.110677,0.110677,0.15625
L14H3,14,3,12,23.416667,23.30599,-0.110677,0.110677,0.203125
L23H3,23,3,12,23.416667,23.43099,0.014323,0.110677,0.21875
L23H6,23,6,12,23.416667,23.518229,0.101562,0.109375,0.28125
L3H8,3,8,12,23.416667,23.307292,-0.109375,0.109375,0.171875
L8H9,8,9,12,23.416667,23.523438,0.106771,0.109375,0.1875
L17H9,17,9,12,23.416667,23.4375,0.020833,0.109375,0.171875
L12H0,12,0,12,23.416667,23.526042,0.109375,0.109375,0.21875
L14H14,14,14,12,23.416667,23.52474,0.108073,0.108073,0.1875
L19H13,19,13,12,23.416667,23.503906,0.08724,0.108073,0.25
L9H1,9,1,12,23.416667,23.449219,0.032552,0.105469,0.21875
L14H7,14,7,12,23.416667,23.509115,0.092448,0.102865,0.234375
L1H15,1,15,12,23.416667,23.5,0.083333,0.101562,0.3125
L12H15,12,15,12,23.416667,23.330729,-0.085938,0.101562,0.25
L12H8,12,8,12,23.416667,23.322917,-0.09375,0.101562,0.34375
L9H3,9,3,12,23.416667,23.348958,-0.067708,0.101562,0.171875
L12H14,12,14,12,23.416667,23.488281,0.071615,0.10026,0.25
L5H8,5,8,12,23.416667,23.420573,0.003906,0.10026,0.34375
L3H10,3,10,12,23.416667,23.35026,-0.066406,0.10026,0.25
L6H0,6,0,12,23.416667,23.509115,0.092448,0.10026,0.1875
L0H11,0,11,12,23.416667,23.498698,0.082031,0.10026,0.390625
L2H15,2,15,12,23.416667,23.352865,-0.063802,0.10026,0.296875
L5H9,5,9,12,23.416667,23.5,0.083333,0.098958,0.21875
L5H6,5,6,12,23.416667,23.322917,-0.09375,0.098958,0.203125
L5H10,5,10,12,23.416667,23.497396,0.080729,0.098958,0.21875
L23H10,23,10,12,23.416667,23.513021,0.096354,0.098958,0.234375
L25H8,25,8,12,23.416667,23.317708,-0.098958,0.098958,0.171875
L1H6,1,6,12,23.416667,23.410156,-0.00651,0.097656,0.140625
L17H0,17,0,12,23.416667,23.332031,-0.084635,0.097656,0.15625
L24H14,24,14,12,23.416667,23.459635,0.042969,0.097656,0.21875
L2H0,2,0,12,23.416667,23.473958,0.057292,0.096354,0.234375
L16H14,16,14,12,23.416667,23.320312,-0.096354,0.096354,0.21875
L27H3,27,3,12,23.416667,23.320312,-0.096354,0.096354,0.109375
L24H15,24,15,12,23.416667,23.389323,-0.027344,0.095052,0.21875
L17H15,17,15,12,23.416667,23.460938,0.044271,0.09375,0.25
L12H7,12,7,12,23.416667,23.434896,0.018229,0.09375,0.21875
L11H8,11,8,12,23.416667,23.476562,0.059896,0.09375,0.234375
L3H3,3,3,12,23.416667,23.510417,0.09375,0.09375,0.21875
L16H7,16,7,12,23.416667,23.325521,-0.091146,0.09375,0.1875
L19H4,19,4,12,23.416667,23.322917,-0.09375,0.09375,0.1875
L15H15,15,15,12,23.416667,23.447917,0.03125,0.09375,0.25
L2H12,2,12,12,23.416667,23.428385,0.011719,0.092448,0.28125
L7H3,7,3,12,23.416667,23.488281,0.071615,0.092448,0.21875
L3H2,3,2,12,23.416667,23.373698,-0.042969,0.092448,0.25
L7H10,7,10,12,23.416667,23.451823,0.035156,0.092448,0.21875
L18H5,18,5,12,23.416667,23.509115,0.092448,0.092448,0.140625
L24H5,24,5,12,23.416667,23.438802,0.022135,0.092448,0.171875
L5H2,5,2,12,23.416667,23.393229,-0.023438,0.091146,0.21875
L1H9,1,9,12,23.416667,23.325521,-0.091146,0.091146,0.171875
L9H4,9,4,12,23.416667,23.497396,0.080729,0.091146,0.171875
L12H3,12,3,12,23.416667,23.382812,-0.033854,0.091146,0.234375
L5H13,5,13,12,23.416667,23.434896,0.018229,0.091146,0.1875
L2H5,2,5,12,23.416667,23.389323,-0.027344,0.089844,0.203125
L22H9,22,9,12,23.416667,23.346354,-0.070312,0.088542,0.1875
L5H15,5,15,12,23.416667,23.372396,-0.044271,0.088542,0.1875
L27H0,27,0,12,23.416667,23.328125,-0.088542,0.088542,0.140625
L4H7,4,7,12,23.416667,23.347656,-0.06901,0.08724,0.15625
L7H4,7,4,12,23.416667,23.420573,0.003906,0.08724,0.25
L21H8,21,8,12,23.416667,23.503906,0.08724,0.08724,0.140625
L15H6,15,6,12,23.416667,23.352865,-0.063802,0.08724,0.28125
L19H0,19,0,12,23.416667,23.494792,0.078125,0.085938,0.171875
L25H11,25,11,12,23.416667,23.372396,-0.044271,0.085938,0.1875
L2H7,2,7,12,23.416667,23.395833,-0.020833,0.085938,0.1875
L1H3,1,3,12,23.416667,23.498698,0.082031,0.084635,0.203125
L7H15,7,15,12,23.416667,23.417969,0.001302,0.084635,0.15625
L27H6,27,6,12,23.416667,23.501302,0.084635,0.084635,0.15625
L6H5,6,5,12,23.416667,23.483073,0.066406,0.084635,0.234375
L14H5,14,5,12,23.416667,23.445312,0.028646,0.083333,0.203125
L0H0,0,0,12,23.416667,23.46224,0.045573,0.082031,0.1875
L21H7,21,7,12,23.416667,23.492188,0.075521,0.080729,0.140625
L24H1,24,1,12,23.416667,23.33724,-0.079427,0.079427,0.109375
L7H9,7,9,12,23.416667,23.373698,-0.042969,0.079427,0.1875
L27H5,27,5,12,23.416667,23.394531,-0.022135,0.079427,0.21875
L3H0,3,0,12,23.416667,23.347656,-0.06901,0.079427,0.1875
L4H2,4,2,12,23.416667,23.485677,0.06901,0.079427,0.234375
L25H5,25,5,12,23.416667,23.338542,-0.078125,0.078125,0.125
L16H3,16,3,12,23.416667,23.345052,-0.071615,0.076823,0.25
L21H13,21,13,12,23.416667,23.49349,0.076823,0.076823,0.15625
L7H14,7,14,12,23.416667,23.347656,-0.06901,0.076823,0.203125
L13H8,13,8,12,23.416667,23.404948,-0.011719,0.076823,0.1875
L20H4,20,4,12,23.416667,23.485677,0.06901,0.076823,0.15625
L14H6,14,6,12,23.416667,23.479167,0.0625,0.075521,0.1875
L1H4,1,4,12,23.416667,23.479167,0.0625,0.075521,0.1875
L13H1,13,1,12,23.416667,23.484375,0.067708,0.075521,0.203125
L4H9,4,9,12,23.416667,23.490885,0.074219,0.074219,0.234375
L6H4,6,4,12,23.416667,23.470052,0.053385,0.074219,0.265625
L3H4,3,4,12,23.416667,23.378906,-0.03776,0.074219,0.234375
L8H1,8,1,12,23.416667,23.371094,-0.045573,0.074219,0.171875
L16H10,16,10,12,23.416667,23.486979,0.070312,0.072917,0.1875
L7H7,7,7,12,23.416667,23.419271,0.002604,0.072917,0.171875
L1H8,1,8,12,23.416667,23.449219,0.032552,0.071615,0.125
L6H9,6,9,12,23.416667,23.358073,-0.058594,0.071615,0.1875
L7H2,7,2,12,23.416667,23.347656,-0.06901,0.071615,0.234375
L6H11,6,11,12,23.416667,23.419271,0.002604,0.070312,0.203125
L7H6,7,6,12,23.416667,23.414062,-0.002604,0.070312,0.140625
L2H8,2,8,12,23.416667,23.481771,0.065104,0.070312,0.125
L2H10,2,10,12,23.416667,23.44401,0.027344,0.06901,0.140625
L23H4,23,4,12,23.416667,23.373698,-0.042969,0.06901,0.125
L1H10,1,10,12,23.416667,23.375,-0.041667,0.067708,0.140625
L3H5,3,5,12,23.416667,23.484375,0.067708,0.067708,0.109375
L1H0,1,0,12,23.416667,23.395833,-0.020833,0.067708,0.203125
L15H1,15,1,12,23.416667,23.416667,0.0,0.067708,0.140625
L5H12,5,12,12,23.416667,23.432292,0.015625,0.067708,0.171875
L18H8,18,8,12,23.416667,23.360677,-0.05599,0.066406,0.140625
L14H2,14,2,12,23.416667,23.358073,-0.058594,0.066406,0.21875
L12H2,12,2,12,23.416667,23.35026,-0.066406,0.066406,0.171875
L5H11,5,11,12,23.416667,23.354167,-0.0625,0.065104,0.203125
L4H15,4,15,12,23.416667,23.429688,0.013021,0.065104,0.109375
L25H9,25,9,12,23.416667,23.367188,-0.049479,0.065104,0.140625
L1H7,1,7,12,23.416667,23.411458,-0.005208,0.065104,0.171875
L15H0,15,0,12,23.416667,23.372396,-0.044271,0.065104,0.140625
L3H1,3,1,12,23.416667,23.363281,-0.053385,0.063802,0.125
L7H0,7,0,12,23.416667,23.358073,-0.058594,0.063802,0.125
L8H13,8,13,12,23.416667,23.376302,-0.040365,0.063802,0.109375
L1H11,1,11,12,23.416667,23.479167,0.0625,0.0625,0.15625
L10H13,10,13,12,23.416667,23.416667,0.0,0.0625,0.140625
L11H7,11,7,12,23.416667,23.354167,-0.0625,0.0625,0.15625
L2H9,2,9,12,23.416667,23.451823,0.035156,0.061198,0.140625
L8H4,8,4,12,23.416667,23.441406,0.02474,0.061198,0.125
L19H8,19,8,12,23.416667,23.428385,0.011719,0.061198,0.1875
L15H5,15,5,12,23.416667,23.365885,-0.050781,0.061198,0.171875
L19H5,19,5,12,23.416667,23.46224,0.045573,0.061198,0.1875
L19H10,19,10,12,23.416667,23.363281,-0.053385,0.058594,0.140625
L23H2,23,2,12,23.416667,23.44401,0.027344,0.058594,0.140625
L8H5,8,5,12,23.416667,23.47526,0.058594,0.058594,0.125
L24H9,24,9,12,23.416667,23.420573,0.003906,0.058594,0.140625
L24H8,24,8,12,23.416667,23.382812,-0.033854,0.057292,0.34375
L12H12,12,12,12,23.416667,23.388021,-0.028646,0.057292,0.203125
L4H10,4,10,12,23.416667,23.427083,0.010417,0.057292,0.140625
L18H1,18,1,12,23.416667,23.397135,-0.019531,0.05599,0.125
L3H11,3,11,12,23.416667,23.36849,-0.048177,0.05599,0.140625
L22H13,22,13,12,23.416667,23.360677,-0.05599,0.05599,0.078125
L10H14,10,14,12,23.416667,23.394531,-0.022135,0.05599,0.171875
L25H12,25,12,12,23.416667,23.361979,-0.054688,0.054688,0.078125
L4H3,4,3,12,23.416667,23.361979,-0.054688,0.054688,0.109375
L4H5,4,5,12,23.416667,23.372396,-0.044271,0.054688,0.125
L7H5,7,5,12,23.416667,23.397135,-0.019531,0.053385,0.109375
L5H3,5,3,12,23.416667,23.385417,-0.03125,0.052083,0.140625
L2H2,2,2,12,23.416667,23.428385,0.011719,0.050781,0.109375
L2H4,2,4,12,23.416667,23.464844,0.048177,0.050781,0.125
L15H12,15,12,12,23.416667,23.394531,-0.022135,0.050781,0.109375
L22H10,22,10,12,23.416667,23.373698,-0.042969,0.050781,0.109375
L23H9,23,9,12,23.416667,23.416667,0.0,0.049479,0.140625
L18H10,18,10,12,23.416667,23.41276,-0.003906,0.048177,0.125
L9H14,9,14,12,23.416667,23.378906,-0.03776,0.048177,0.109375
L19H11,19,11,12,23.416667,23.423177,0.00651,0.048177,0.078125
L4H14,4,14,12,23.416667,23.43099,0.014323,0.048177,0.125
L18H11,18,11,12,23.416667,23.376302,-0.040365,0.048177,0.078125
L1H2,1,2,12,23.416667,23.458333,0.041667,0.046875,0.15625
L4H6,4,6,12,23.416667,23.457031,0.040365,0.045573,0.125
L8H6,8,6,12,23.416667,23.39974,-0.016927,0.042969,0.125
L3H6,3,6,12,23.416667,23.385417,-0.03125,0.041667,0.125
L3H15,3,15,12,23.416667,23.403646,-0.013021,0.041667,0.09375
L24H12,24,12,12,23.416667,23.421875,0.005208,0.041667,0.125
L6H15,6,15,12,23.416667,23.388021,-0.028646,0.041667,0.09375
L26H1,26,1,12,23.416667,23.432292,0.015625,0.041667,0.171875
L3H9,3,9,12,23.416667,23.407552,-0.009115,0.040365,0.078125
L21H9,21,9,12,23.416667,23.43099,0.014323,0.040365,0.09375
L26H8,26,8,12,23.416667,23.408854,-0.007812,0.039062,0.109375
L19H1,19,1,12,23.416667,23.397135,-0.019531,0.03776,0.109375
L23H15,23,15,12,23.416667,23.38151,-0.035156,0.03776,0.078125
L20H10,20,10,12,23.416667,23.436198,0.019531,0.03776,0.15625
L21H5,21,5,12,23.416667,23.398438,-0.018229,0.036458,0.078125
L8H7,8,7,12,23.416667,23.424479,0.007812,0.036458,0.109375
L4H11,4,11,12,23.416667,23.447917,0.03125,0.036458,0.09375
L10H12,10,12,12,23.416667,23.384115,-0.032552,0.035156,0.109375
L15H10,15,10,12,23.416667,23.40625,-0.010417,0.033854,0.078125
L3H12,3,12,12,23.416667,23.417969,0.001302,0.032552,0.078125
L27H11,27,11,12,23.416667,23.384115,-0.032552,0.032552,0.046875
L27H4,27,4,12,23.416667,23.385417,-0.03125,0.03125,0.046875
L24H10,24,10,12,23.416667,23.391927,-0.02474,0.029948,0.09375
L21H6,21,6,12,23.416667,23.440104,0.023438,0.028646,0.0625
L22H11,22,11,12,23.416667,23.401042,-0.015625,0.028646,0.078125
L19H9,19,9,12,23.416667,23.402344,-0.014323,0.027344,0.125
L24H13,24,13,12,23.416667,23.394531,-0.022135,0.02474,0.0625
L27H13,27,13,12,23.416667,23.391927,-0.02474,0.02474,0.046875
L27H10,27,10,12,23.416667,23.393229,-0.023438,0.023438,0.046875
L6H2,6,2,12,23.416667,23.411458,-0.005208,0.020833,0.046875
L6H1,6,1,12,23.416667,23.429688,0.013021,0.020833,0.0625
L24H11,24,11,12,23.416667,23.433594,0.016927,0.019531,0.046875
L20H11,20,11,12,23.416667,23.427083,0.010417,0.018229,0.046875
L23H0,23,0,12,23.416667,23.43099,0.014323,0.016927,0.03125
L22H5,22,5,12,23.416667,23.421875,0.005208,0.015625,0.0625
L18H4,18,4,12,23.416667,23.41276,-0.003906,0.009115,0.03125
